base,symbol,source
EIGEN,EIGENUSDT,binance
ELSA,ELSAUSDT,binance
ENA,ENAUSDT,binance
ENJ,ENJUSDT,binance
ENS,ENSUSDT,binance
ENSO,ENSOUSDT,binance
EOS,EOSUSDT,binance
EPIC,EPICUSDT,binance
EPT,EPTUSDT,binance
ERA,ERAUSDT,binance
ESP,ESPUSDT,binance
ESPORTS,ESPORTSUSDT,binance
ETC,ETCUSDT,binance
ETH,ETHUSDT,binance
ETHFI,ETHFIUSDT,binance
ETHW,ETHWUSDT,binance
EUL,EULUSDT,binance
EVAA,EVAAUSDT,binance
EWJ,EWJUSDT,binance
EWT,EWTUSDT,binance
EWY,EWYUSDT,binance
EWZ,EWZUSDT,binance
F,FUSDT,binance
FARTCOIN,FARTCOINUSDT,binance
FET,FETUSDT,binance
FF,FFUSDT,binance
FHE,FHEUSDT,binance
FIDA,FIDAUSDT,binance
FIGHT,FIGHTUSDT,binance
FIL,FILUSDT,binance
FIO,FIOUSDT,binance
FIS,FISUSDT,binance
FLEX,FLEXUSDT,binance
FLM,FLMUSDT,binance
FLNC,FLNCUSDT,binance
FLOCK,FLOCKUSDT,binance
FLOW,FLOWUSDT,binance
FLUID,FLUIDUSDT,binance
FLUX,FLUXUSDT,binance
FOGO,FOGOUSDT,binance
FOLKS,FOLKSUSDT,binance
FOOTBALL,FOOTBALLUSDT,binance
FORM,FORMUSDT,binance
FORTH,FORTHUSDT,binance
FRAX,FRAXUSDT,binance
FRONT,FRONTUSDT,binance
FTM,FTMUSDT,binance
FTT,FTTUSDT,binance
FUN,FUNUSDT,binance
FWDI,FWDIUSDT,binance
FXS,FXSUSDT,binance
G,GUSDT,binance
GAL,GALUSDT,binance
GALA,GALAUSDT,binance
GAS,GASUSDT,binance
GENIUS,GENIUSUSDT,binance
GEV,GEVUSDT,binance
GHST,GHSTUSDT,binance
GIGGLE,GIGGLEUSDT,binance
GLM,GLMUSDT,binance
GLMR,GLMRUSDT,binance
GLW,GLWUSDT,binance
GME,GMEUSDT,binance
GMT,GMTUSDT,binance
GMX,GMXUSDT,binance
GOAT,GOATUSDT,binance
GOOGL,GOOGLUSDT,binance
GPS,GPSUSDT,binance
GRAM,GRAMUSDT,binance
GRASS,GRASSUSDT,binance
GRIFFAIN,GRIFFAINUSDT,binance
GRT,GRTUSDT,binance
GRVT,GRVTUSDT,binance
GS,GSUSDT,binance
GTC,GTCUSDT,binance
GUA,GUAUSDT,binance
GUN,GUNUSDT,binance
GWEI,GWEIUSDT,binance
H,HUSDT,binance
HAEDAL,HAEDALUSDT,binance
HANA,HANAUSDT,binance
HBAR,HBARUSDT,binance
HD,HDUSDT,binance
HEI,HEIUSDT,binance
HEMI,HEMIUSDT,binance
HFT,HFTUSDT,binance
HIFI,HIFIUSDT,binance
HIGH,HIGHUSDT,binance
HIMS,HIMSUSDT,binance
HIPPO,HIPPOUSDT,binance
HIVE,HIVEUSDT,binance
HK0700,HK0700USDT,binance
HK1810,HK1810USDT,binance
HMSTR,HMSTRUSDT,binance
HNT,HNTUSDT,binance
HOLO,HOLOUSDT,binance
HOME,HOMEUSDT,binance
HOOD,HOODUSDT,binance
HOOK,HOOKUSDT,binance
HOT,HOTUSDT,binance
HPE,HPEUSDT,binance
HUMA,HUMAUSDT,binance
HYPE,HYPEUSDT,binance
HYPER,HYPERUSDT,binance
HYUNDAI,HYUNDAIUSDT,binance
IBM,IBMUSDT,binance
ICNT,ICNTUSDT,binance
ICP,ICPUSDT,binance
ICX,ICXUSDT,binance
ID,IDUSDT,binance
IDEX,IDEXUSDT,binance
IDOL,IDOLUSDT,binance
ILV,ILVUSDT,binance
IMX,IMXUSDT,binance
IN,INUSDT,binance
INIT,INITUSDT,binance
INJ,INJUSDT,binance
INTC,INTCUSDT,binance
INTW,INTWUSDT,binance
INX,INXUSDT,binance
IO,IOUSDT,binance
IOST,IOSTUSDT,binance
IOTA,IOTAUSDT,binance
IOTX,IOTXUSDT,binance
IP,IPUSDT,binance
IR,IRUSDT,binance
IREN,IRENUSDT,binance
IRYS,IRYSUSDT,binance
IWM,IWMUSDT,binance
JASMY,JASMYUSDT,binance
JCT,JCTUSDT,binance
JELLYJELLY,JELLYJELLYUSDT,binance
JOE,JOEUSDT,binance
JPM,JPMUSDT,binance
JST,JSTUSDT,binance
JTO,JTOUSDT,binance
JUP,JUPUSDT,binance
KAIA,KAIAUSDT,binance
KAITO,KAITOUSDT,binance
KAS,KASUSDT,binance
KAT,KATUSDT,binance
KAVA,KAVAUSDT,binance
KDA,KDAUSDT,binance
KEEP,KEEPUSDT,binance
KERNEL,KERNELUSDT,binance
KEY,KEYUSDT,binance
KGEN,KGENUSDT,binance
KITE,KITEUSDT,binance
KLAC,KLACUSDT,binance
KLAY,KLAYUSDT,binance
KMNO,KMNOUSDT,binance
KNC,KNCUSDT,binance
KOMA,KOMAUSDT,binance
KORU,KORUUSDT,binance
KSM,KSMUSDT,binance
KSTR,KSTRUSDT,binance
LA,LAUSDT,binance
LAB,LABUSDT,binance
LAYER,LAYERUSDT,binance
LDO,LDOUSDT,binance
LEND,LENDUSDT,binance
LEVER,LEVERUSDT,binance
LIGHT,LIGHTUSDT,binance
LINA,LINAUSDT,binance
LINEA,LINEAUSDT,binance
LINK,LINKUSDT,binance
LISTA,LISTAUSDT,binance
LIT,LITUSDT,binance
LITE,LITEUSDT,binance
LLY,LLYUSDT,binance
LOKA,LOKAUSDT,binance
LOOM,LOOMUSDT,binance
LPT,LPTUSDT,binance
LQTY,LQTYUSDT,binance
