base,source,symbol,rows,first_utc,last_utc,days,delisted
PRAI,bybit_trades,PRAIUSDT,55606,2025-05-19,2025-07-05,48,1
PRCL,bybit_trades,PRCLUSDT,685950,2024-07-17,2025-12-26,528,1
PRIME,bybit_trades,PRIMEUSDT,467254,2024-09-30,2025-10-06,372,1
PRL,binance,PRLUSDT,182529,2026-04-01,2026-08-06,128,0
PROM,binance,PROMUSDT,817449,2025-01-15,2026-08-06,568,0
PROMPT,binance,PROMPTUSDT,693969,2025-04-11,2026-08-06,483,0
PROS,bybit_trades,PROSUSDT,171181,2024-11-15,2025-04-16,153,1
PROVE,binance,PROVEUSDT,526299,2025-08-05,2026-08-06,366,0
PTB,binance,PTBUSDT,484809,2025-09-03,2026-08-06,337,0
PUFFER,binance,PUFFERUSDT,616089,2025-06-04,2026-08-06,429,0
PUMP,binance,PUMPUSDT,691599,2025-04-12,2026-08-06,481,0
PUMPBTC,binance,PUMPBTCUSDT,603039,2025-06-13,2026-08-06,420,0
PUMPFUN,bybit,PUMPFUNUSDT,564404,2025-07-10,2026-08-06,393,0
PUNDIX,binance,PUNDIXUSDT,666399,2025-04-30,2026-08-06,464,0
PUNDU,bybit_trades,PUNDUUSDT,131175,2024-03-28,2024-07-08,102,1
PURR,bybit,PURRUSDT,38496,2026-07-10,2026-08-06,28,0
PYPL,binance,PYPLUSDT,11259,2026-07-29,2026-08-06,9,0
PYR,bybit_trades,PYRUSDT,481042,2024-10-07,2026-06-11,613,1
PYTH,binance,PYTHUSDT,1422129,2023-11-22,2026-08-06,988,0
Q,binance,QUSDT,486549,2025-09-02,2026-08-06,339,0
QCOM,binance,QCOMUSDT,131944,2026-05-06,2026-08-06,92,0
QI,bybit_trades,QIUSDT,702333,2023-12-12,2025-10-06,665,1
QNT,binance,QNTUSDT,1890999,2023-01-01,2026-08-06,1314,0
QNTX,binance,QNTXUSDT,99144,2026-05-29,2026-08-06,70,0
QQQ,binance,QQQUSDT,175149,2026-04-06,2026-08-06,122,0
QTUM,binance,QTUMUSDT,1890999,2023-01-01,2026-08-06,1314,0
QUICK,binance,QUICKUSDT,1004820,2024-09-06,2026-08-04,699,0
RAD,binance,RADUSDT,1702800,2023-05-10,2026-08-04,1183,0
RARE,binance,RAREUSDT,1037739,2024-08-15,2026-08-06,721,0
RAVE,binance,RAVEUSDT,337749,2025-12-14,2026-08-06,235,0
RAY,binance,RAYUSDT,1889280,2023-01-01,2026-08-04,1313,0
RAYDIUM,bybit,RAYDIUMUSDT,1141609,2024-06-04,2026-08-06,794,0
RAYSOL,binance,RAYSOLUSDT,869319,2024-12-10,2026-08-06,604,0
RDDT,bybit,RDDTUSDT,2538,2026-08-04,2026-08-06,3,0
RDNT,binance,RDNTUSDT,1753200,2023-04-05,2026-08-04,1219,0
RDW,bybit,RDWUSDT,29914,2026-07-16,2026-08-06,22,0
RE,binance,REUSDT,69999,2026-06-18,2026-08-06,49,0
RECALL,binance,RECALLUSDT,424329,2025-10-15,2026-08-06,295,0
RED,binance,REDUSDT,745239,2025-03-06,2026-08-06,518,0
REEF,binance,REEFUSDT,1889280,2023-01-01,2026-08-04,1313,0
REGN,bybit,REGNUSDT,8326,2026-07-31,2026-08-06,7,0
REI,binance,REIUSDT,974220,2024-09-27,2026-08-04,678,0
REN,binance,RENUSDT,1889280,2023-01-01,2026-08-04,1313,0
RENDER,binance,RENDERUSDT,1066719,2024-07-26,2026-08-06,742,0
REQ,bybit_trades,REQUSDT,866333,2023-01-01,2026-06-03,1058,1
RESOLV,binance,RESOLVUSDT,607149,2025-06-10,2026-08-06,422,0
REX,bybit_trades,REXUSDT,335306,2025-01-09,2025-10-13,278,1
REZ,binance,REZUSDT,1191759,2024-04-30,2026-08-06,828,0
RFC,bybit_trades,RFCUSDT,225334,2025-04-14,2025-10-18,188,1
RHEA,bybit_trades,RHEAUSDT,82117,2025-08-06,2025-10-17,74,1
RIF,binance,RIFUSDT,1468329,2023-10-21,2026-08-06,1020,0
RIFSOL,bybit_trades,RIFSOLUSDT,191179,2024-11-18,2025-04-07,141,1
RIVER,binance,RIVERUSDT,421314,2025-10-17,2026-08-06,293,0
RIVN,binance,RIVNUSDT,81809,2026-06-10,2026-08-06,58,0
RKLB,binance,RKLBUSDT,114634,2026-05-18,2026-08-06,80,0
RLC,binance,RLCUSDT,1890999,2023-01-01,2026-08-06,1314,0
RLS,binance,RLSUSDT,353640,2025-12-02,2026-08-04,247,0
RLUSD,bybit,RLUSDUSDT,451586,2025-09-26,2026-08-06,314,0
RNDR,binance,RNDRUSDT,782147,2023-02-03,2024-07-30,544,0
ROAM,bybit_trades,ROAMUSDT,603209,2025-03-07,2026-07-27,508,1
ROBO,binance,ROBOUSDT,230154,2026-02-27,2026-08-06,161,0
RON,bybit_trades,RONUSDT,348543,2024-02-20,2025-01-26,342,1
RONIN,binance,RONINUSDT,1313289,2024-02-06,2026-08-06,913,0
ROSE,binance,ROSEUSDT,1890999,2023-01-01,2026-08-06,1314,0
RPL,binance,RPLUSDT,1001769,2024-09-09,2026-08-06,696,0
RSR,binance,RSRUSDT,1890999,2023-01-01,2026-08-06,1314,0
RSS3,bybit_trades,RSS3USDT,1134764,2023-01-01,2025-11-26,1061,1
RUNE,binance,RUNEUSDT,1890999,2023-01-01,2026-08-06,1314,0
RVN,binance,RVNUSDT,1890999,2023-01-01,2026-08-06,1314,0
RVV,binance,RVVUSDT,418230,2025-10-18,2026-08-04,291,0
S,binance,SUSDT,816159,2025-01-16,2026-08-06,568,0
SAFE,binance,SAFEUSDT,935529,2024-10-25,2026-08-06,650,0
SAGA,binance,SAGAUSDT,1222209,2024-04-09,2026-08-06,850,0
SAHARA,binance,SAHARAUSDT,584199,2025-06-26,2026-08-06,406,0
SAMSUNG,binance,SAMSUNGUSDT,93689,2026-06-02,2026-08-06,66,0
SAND,binance,SANDUSDT,1890999,2023-01-01,2026-08-06,1314,0
SANTOS,binance,SANTOSUSDT,931119,2024-10-28,2026-08-06,647,0
SAPIEN,binance,SAPIENUSDT,504669,2025-08-20,2026-08-06,351,0
SAROS,bybit_trades,SAROSUSDT,337330,2025-05-20,2026-02-11,268,1
SC,binance,SCUSDT,1889280,2023-01-01,2026-08-04,1313,0
SCA,bybit_trades,SCAUSDT,697872,2024-03-13,2025-10-21,589,1
SCR,binance,SCRUSDT,939999,2024-10-22,2026-08-06,654,0
SCRT,binance,SCRTUSDT,896709,2024-11-21,2026-08-06,624,0
SD,bybit_trades,SDUSDT,495756,2024-11-14,2026-03-06,478,1
SEI,binance,SEIUSDT,1562529,2023-08-17,2026-08-06,1086,0
SEND,bybit_trades,SENDUSDT,334986,2024-12-13,2025-10-18,310,1
SENT,binance,SENTUSDT,381114,2025-11-14,2026-08-06,265,0
SERAPH,bybit_trades,SERAPHUSDT,255500,2025-03-11,2025-10-18,222,1
SFP,binance,SFPUSDT,1890999,2023-01-01,2026-08-06,1314,0
SHAZ,binance,SHAZUSDT,22779,2026-07-21,2026-08-06,17,0
SHELL,binance,SHELLUSDT,769644,2025-02-17,2026-08-06,535,0
SHIB1000,bybit,SHIB1000USDT,1890999,2023-01-01,2026-08-06,1314,0
SIGN,binance,SIGNUSDT,669219,2025-04-28,2026-08-06,466,0
SILLY,bybit_trades,SILLYUSDT,539970,2023-12-27,2025-01-30,400,1
SIREN,binance,SIRENUSDT,722619,2025-03-22,2026-08-06,503,0
SKATE,binance,SKATEUSDT,607050,2025-06-09,2026-08-04,423,0
SKHY,binance,SKHYUSDT,38209,2026-07-10,2026-08-06,27,0
SKHYNIX,binance,SKHYNIXUSDT,93699,2026-06-02,2026-08-06,66,0
SKL,binance,SKLUSDT,1890999,2023-01-01,2026-08-06,1314,0
SKR,binance,SKRUSDT,281874,2026-01-22,2026-08-06,197,0
SKY,binance,SKYUSDT,476499,2025-09-09,2026-08-06,332,0
SKYAI,binance,SKYAIUSDT,647694,2025-05-13,2026-08-06,451,0
SKYAI1,bybit,SKYAI1USDT,104844,2026-05-25,2026-08-06,74,0
SLERF,binance,SLERFUSDT,894990,2024-11-21,2026-08-04,623,0
SLF,bybit_trades,SLFUSDT,432129,2024-09-03,2025-09-19,382,1
SLP,binance,SLPUSDT,1453104,2023-10-31,2026-08-06,1010,0
SLX,binance,SLXUSDT,94869,2026-06-01,2026-08-06,67,0
SMCI,binance,SMCIUSDT,64254,2026-06-22,2026-08-06,45,0
SMH,binance,SMHUSDT,11249,2026-07-29,2026-08-06,9,0
SNDK,binance,SNDKUSDT,173699,2026-04-07,2026-08-06,121,0
SNOW,binance,SNOWUSDT,38639,2026-07-10,2026-08-06,28,0
SNT,binance,SNTUSDT,1451049,2023-11-02,2026-08-06,1008,0
SNX,binance,SNXUSDT,1890999,2023-01-01,2026-08-06,1314,0
SNXX,binance,SNXXUSDT,39744,2026-07-09,2026-08-06,28,0
SOFI,binance,SOFIUSDT,22774,2026-07-21,2026-08-06,17,0
SOL,binance,SOLUSDT,1890999,2023-01-01,2026-08-06,1314,0
SOLAYER,bybit,SOLAYERUSDT,778425,2025-02-11,2026-08-06,541,0
SOLO,bybit_trades,SOLOUSDT,294066,2024-12-26,2025-10-17,297,1
SOLV,binance,SOLVUSDT,814584,2025-01-17,2026-08-06,566,0
SOMI,binance,SOMIUSDT,497949,2025-08-25,2026-08-06,347,0
SONIC,binance,SONICUSDT,827858,2025-01-08,2026-08-06,576,0
SONY,binance,SONYUSDT,64239,2026-06-22,2026-08-06,45,0
SOON,binance,SOONUSDT,633369,2025-05-23,2026-08-06,441,0
SOPH,binance,SOPHUSDT,625899,2025-05-28,2026-08-06,435,0
SOSO,bybit,SOSOUSDT,584239,2025-06-26,2026-08-06,407,0
SOXL,binance,SOXLUSDT,118959,2026-05-15,2026-08-06,83,0
SOXS,binance,SOXSUSDT,29974,2026-07-16,2026-08-06,22,0
SOXX,bybit,SOXXUSDT,22667,2026-07-21,2026-08-06,17,0
SPACE,binance,SPACEUSDT,280374,2026-01-23,2026-08-06,196,0
SPACEX,,,2133,2026-08-04,2026-08-06,2,0
SPCX,binance,SPCXUSDT,110874,2026-05-21,2026-08-06,78,0
SPEC,bybit_trades,SPECUSDT,625437,2024-05-27,2025-10-06,498,1
SPELL,binance,SPELLUSDT,1890999,2023-01-01,2026-08-06,1314,0
SPK,binance,SPKUSDT,597339,2025-06-17,2026-08-06,416,0
SPORTFUN,binance,SPORTFUNUSDT,290334,2026-01-16,2026-08-06,202,0
SPOT,bybit,SPOTUSDT,4046,2026-08-03,2026-08-06,4,0
SPX,binance,SPXUSDT,869274,2024-12-10,2026-08-06,604,0
SPY,binance,SPYUSDT,175139,2026-04-06,2026-08-06,122,0
SQD,binance,SQDUSDT,605754,2025-06-11,2026-08-06,421,0
SQQQ,binance,SQQQUSDT,54174,2026-06-29,2026-08-06,38,0
SRM,binance,SRMUSDT,739151,2023-01-01,2024-05-28,514,0
SSPC,bybit,SSPCUSDT,11212,2026-07-29,2026-08-06,9,0
SSV,binance,SSVUSDT,1812519,2023-02-24,2026-08-06,1260,0
STABLE,binance,STABLEUSDT,392679,2025-11-06,2026-08-06,274,0
STAR,binance,STARUSDT,120909,2026-05-14,2026-08-06,85,0
STBL,binance,STBLUSDT,465054,2025-09-17,2026-08-06,324,0
STEEM,binance,STEEMUSDT,1442289,2023-11-08,2026-08-06,1002,0
STG,binance,STGUSDT,1890999,2023-01-01,2026-08-06,1314,0
STMX,binance,STMXUSDT,1889280,2023-01-01,2026-08-04,1313,0
STO,binance,STOUSDT,692034,2025-04-12,2026-08-06,481,0
STORJ,binance,STORJUSDT,1890999,2023-01-01,2026-08-06,1314,0
STPT,binance,STPTUSDT,1470810,2023-10-18,2026-08-04,1022,0
STRAX,binance,STRAXUSDT,1481610,2023-10-11,2026-08-04,1030,0
STRC,binance,STRCUSDT,48405,2026-07-02,2026-08-04,35,0
STRK,binance,STRKUSDT,1292379,2024-02-20,2026-08-06,898,0
STX,binance,STXUSDT,1816689,2023-02-21,2026-08-06,1262,0
STXX,binance,STXXUSDT,80344,2026-06-11,2026-08-06,57,0
SUI,binance,SUIUSDT,1714359,2023-05-03,2026-08-06,1191,0
SUN,binance,SUNUSDT,1027654,2024-08-22,2026-08-06,714,0
SUNDOG,bybit_trades,SUNDOGUSDT,622000,2024-08-26,2025-11-26,458,1
SUPER,binance,SUPERUSDT,1416459,2023-11-26,2026-08-06,984,0
SUSHI,binance,SUSHIUSDT,1890999,2023-01-01,2026-08-06,1314,0
SWARMS,binance,SWARMSUSDT,828984,2025-01-07,2026-08-06,576,0
SWEAT,bybit_trades,SWEATUSDT,1069891,2023-01-01,2025-10-26,1030,1
SWELL,binance,SWELLUSDT,913440,2024-11-08,2026-08-04,635,0
SXP,binance,SXPUSDT,1797120,2023-01-01,2026-06-01,1249,0
SXT,binance,SXTUSDT,663609,2025-05-02,2026-08-06,462,0
SYN,binance,SYNUSDT,1036329,2024-08-16,2026-08-06,720,0
SYRUP,binance,SYRUPUSDT,656409,2025-05-07,2026-08-06,457,0
SYS,binance,SYSUSDT,1030290,2024-08-19,2026-08-04,716,0
T,binance,TUSDT,1845579,2023-02-01,2026-08-06,1282,0
TA,binance,TAUSDT,548469,2025-07-21,2026-08-06,382,0
TAC,binance,TACUSDT,556929,2025-07-15,2026-08-06,388,0
TAG,binance,TAGUSDT,542484,2025-07-25,2026-08-06,378,0
TAI,bybit_trades,TAIUSDT,649887,2024-11-14,2026-03-19,491,1
TAIKO,binance,TAIKOUSDT,605769,2025-06-11,2026-08-06,421,0
TAKE,binance,TAKEUSDT,484884,2025-09-03,2026-08-06,338,0
TANSSI,binance,TANSSIUSDT,563790,2025-07-09,2026-08-04,393,0
TAO,binance,TAOUSDT,1219089,2024-04-11,2026-08-06,847,0
TBT,binance,TBTUSDT,13864,2026-07-27,2026-08-06,10,0
TENCENT,binance,TENCENTUSDT,21689,2026-07-22,2026-08-06,16,0
TER,binance,TERUSDT,50104,2026-07-02,2026-08-06,36,0
THE,binance,THEUSDT,888024,2024-11-27,2026-08-06,617,0
THETA,binance,THETAUSDT,1890999,2023-01-01,2026-08-06,1314,0
TIA,binance,TIAUSDT,1453599,2023-10-31,2026-08-06,1010,0
TLM,binance,TLMUSDT,1848489,2023-01-01,2026-08-06,1285,0
TMF,binance,TMFUSDT,13869,2026-07-27,2026-08-06,10,0
TNSR,binance,TNSRUSDT,1223259,2024-04-08,2026-08-06,850,0
TOKEN,binance,TOKENUSDT,1447740,2023-11-03,2026-08-04,1006,0
TOMI,bybit_trades,TOMIUSDT,487808,2023-10-10,2024-11-05,393,1
TOMO,binance,TOMOUSDT,739155,2023-01-01,2024-05-28,514,0
TON,binance,TONUSDT,1278248,2024-03-01,2026-08-06,888,0
TOSHI,binance,TOSHIUSDT,465069,2025-09-17,2026-08-06,324,0
TOWNS,binance,TOWNSUSDT,526449,2025-08-05,2026-08-06,366,0
TQQQ,binance,TQQQUSDT,54179,2026-06-29,2026-08-06,38,0
TRADOOR,binance,TRADOORUSDT,461769,2025-09-19,2026-08-06,321,0
TRB,binance,TRBUSDT,1890999,2023-01-01,2026-08-06,1314,0
TREE,binance,TREEUSDT,536559,2025-07-29,2026-08-06,373,0
TRIA,binance,TRIAUSDT,260184,2026-02-06,2026-08-06,181,0
TROY,binance,TROYUSDT,925140,2024-10-31,2026-08-04,643,0
TRU,binance,TRUUSDT,1794960,2023-03-07,2026-08-04,1247,0
TRUMP,binance,TRUMPUSDT,813099,2025-01-18,2026-08-06,565,0
TRUST,binance,TRUSTUSDT,394269,2025-11-05,2026-08-06,275,0
TRUTH,binance,TRUTHUSDT,444518,2025-10-01,2026-08-06,309,0
TRX,binance,TRXUSDT,1890999,2023-01-01,2026-08-06,1314,0
TSEM,bybit,TSEMUSDT,28401,2026-07-17,2026-08-06,21,0
TSLA,binance,TSLAUSDT,273009,2026-01-28,2026-08-06,190,0
TSLL,bybit,TSLLUSDT,24147,2026-07-20,2026-08-06,18,0
TSM,binance,TSMUSDT,175119,2026-04-06,2026-08-06,122,0
TST,binance,TSTUSDT,781419,2025-02-09,2026-08-06,543,0
TSTBSC,bybit_trades,TSTBSCUSDT,578846,2025-02-09,2026-07-27,534,1
TTWO,binance,TTWOUSDT,50099,2026-07-02,2026-08-06,36,0
TURBO,binance,TURBOUSDT,1148469,2024-05-30,2026-08-06,798,0
TURTLE,binance,TURTLEUSDT,414099,2025-10-22,2026-08-06,288,0
TUT,binance,TUTUSDT,725499,2025-03-20,2026-08-06,505,0
TWT,binance,TWTUSDT,1449489,2023-11-03,2026-08-06,1007,0
TXN,binance,TXNUSDT,50114,2026-07-02,2026-08-06,36,0
TZA,binance,TZAUSDT,29969,2026-07-16,2026-08-06,22,0
UAI,binance,UAIUSDT,392709,2025-11-06,2026-08-06,274,0
UB,binance,UBUSDT,471969,2025-09-12,2026-08-06,329,0
UBER,binance,UBERUSDT,118974,2026-05-15,2026-08-06,83,0
UMA,binance,UMAUSDT,1704489,2023-05-10,2026-08-06,1184,0
UNFI,binance,UNFIUSDT,1889280,2023-01-01,2026-08-04,1313,0
UNH,bybit,UNHUSDT,8330,2026-07-31,2026-08-06,7,0
UNI,binance,UNIUSDT,1890999,2023-01-01,2026-08-06,1314,0
UNITREE,bybit_trades,UNITREEUSDT,1644,2026-08-03,2026-08-04,3,1
URNM,binance,URNMUSDT,83249,2026-06-09,2026-08-06,59,0
URO,bybit_trades,UROUSDT,109062,2024-12-13,2025-03-06,84,1
US,binance,USUSDT,340914,2025-12-12,2026-08-06,238,0
USAR,binance,USARUSDT,131939,2026-05-06,2026-08-06,92,0
USD1,bybit,USD1USDT,555455,2025-07-16,2026-08-06,387,0
USDC,binance,USDCUSDT,1789179,2023-03-12,2026-08-06,1243,0
USDE,bybit,USDEUSDT,1049400,2024-08-07,2026-08-06,730,0
USELESS,binance,USELESSUSDT,512184,2025-08-15,2026-08-06,356,0
USTC,binance,USTCUSDT,1415049,2023-11-27,2026-08-06,983,0
USUAL,binance,USUALUSDT,857739,2024-12-18,2026-08-06,596,0
UVXY,binance,UVXYUSDT,80359,2026-06-11,2026-08-06,57,0
UXLINK,binance,UXLINKUSDT,991260,2024-09-15,2026-08-04,689,0
V,binance,VUSDT,114654,2026-05-18,2026-08-06,80,0
VANA,binance,VANAUSDT,860589,2024-12-16,2026-08-06,598,0
VANRY,binance,VANRYUSDT,1260669,2024-03-13,2026-08-06,876,0
VELO,bybit,VELOUSDT,1163202,2024-05-20,2026-08-06,809,0
VELODROME,binance,VELODROMEUSDT,864744,2024-12-13,2026-08-06,601,0
VELVET,binance,VELVETUSDT,557004,2025-07-15,2026-08-06,388,0
VET,binance,VETUSDT,1890999,2023-01-01,2026-08-06,1314,0
VFY,binance,VFYUSDT,444240,2025-09-30,2026-08-04,309,0
VGX,bybit_trades,VGXUSDT,518097,2023-08-01,2024-09-24,421,1
VIC,binance,VICUSDT,736539,2025-03-12,2026-08-06,512,0
VIDT,binance,VIDTUSDT,1024710,2024-08-23,2026-08-04,713,0
VINE,binance,VINEUSDT,804459,2025-01-24,2026-08-06,560,0
VIRTUAL,binance,VIRTUALUSDT,869289,2024-12-10,2026-08-06,604,0
VOXEL,binance,VOXELUSDT,1028970,2024-08-20,2026-08-04,716,0
VR,bybit_trades,VRUSDT,357120,2025-01-16,2025-10-17,276,1
VRA,bybit_trades,VRAUSDT,777124,2023-10-03,2025-05-12,588,1
VRT,binance,VRTUSDT,38644,2026-07-10,2026-08-06,28,0
VTHO,binance,VTHOUSDT,807549,2025-01-22,2026-08-06,562,0
VVV,binance,VVVUSDT,797544,2025-01-29,2026-08-06,555,0
W,binance,WUSDT,1230549,2024-04-03,2026-08-06,855,0
WAL,binance,WALUSDT,715029,2025-03-27,2026-08-06,497,0
WAVES,binance,WAVESUSDT,1890999,2023-01-01,2026-08-06,1314,0
WAXP,binance,WAXPUSDT,1472514,2023-10-18,2026-08-06,1023,0
WCT,binance,WCTUSDT,687939,2025-04-15,2026-08-06,479,0
WDC,binance,WDCUSDT,103144,2026-05-26,2026-08-06,72,0
WEN,binance,WENUSDT,38035,2026-07-09,2026-08-04,27,0
WENSTOCK,bybit,WENSTOCKUSDT,24144,2026-07-20,2026-08-06,18,0
WET,binance,WETUSDT,344019,2025-12-10,2026-08-06,240,0
WHITEWHALE,bybit_trades,WHITEWHALEUSDT,251302,2026-01-06,2026-07-20,195,1
WIF,binance,WIFUSDT,1340064,2024-01-18,2026-08-06,931,0
WLD,binance,WLDUSDT,1596519,2023-07-24,2026-08-06,1110,0
WLFI,binance,WLFIUSDT,500889,2025-08-23,2026-08-06,349,0
WMT,binance,WMTUSDT,114664,2026-05-18,2026-08-06,80,0
WOO,binance,WOOUSDT,1890999,2023-01-01,2026-08-06,1314,0
WSM,bybit_trades,WSMUSDT,143874,2023-10-12,2024-02-05,116,1
XAG,binance,XAGUSDT,303519,2026-01-07,2026-08-06,212,0
XAI,binance,XAIUSDT,1353039,2024-01-09,2026-08-06,940,0
XAN,binance,XANUSDT,447489,2025-09-29,2026-08-06,312,0
XAU,binance,XAUUSDT,342514,2025-12-11,2026-08-06,239,0
XAUT,binance,XAUTUSDT,190959,2026-03-26,2026-08-06,133,0
XBI,binance,XBIUSDT,39739,2026-07-09,2026-08-06,28,0
XCH,bybit_trades,XCHUSDT,600653,2024-05-27,2026-03-19,662,1
XCN,binance,XCNUSDT,693429,2025-04-11,2026-08-06,482,0
XCU,,,22,2026-08-04,2026-08-06,2,0
XDC,bybit,XDCUSDT,780161,2025-02-10,2026-08-06,543,0
XEM,binance,XEMUSDT,1889280,2023-01-01,2026-08-04,1313,0
XION,bybit_trades,XIONUSDT,632945,2024-12-05,2026-06-18,561,1
XLE,binance,XLEUSDT,81799,2026-06-10,2026-08-06,58,0
XLF,bybit,XLFUSDT,22660,2026-07-21,2026-08-06,17,0
XLK,bybit,XLKUSDT,22670,2026-07-21,2026-08-06,17,0
XLM,binance,XLMUSDT,1890999,2023-01-01,2026-08-06,1314,0
XLV,bybit,XLVUSDT,22668,2026-07-21,2026-08-06,17,0
XMR,binance,XMRUSDT,1890999,2023-01-01,2026-08-06,1314,0
XNO,bybit_trades,XNOUSDT,959137,2023-01-01,2026-01-24,1120,1
XNY,binance,XNYUSDT,515094,2025-08-13,2026-08-06,359,0
XOM,bybit,XOMUSDT,4047,2026-08-03,2026-08-06,4,0
XPD,binance,XPDUSDT,270384,2026-01-30,2026-08-06,189,0
XPIN,binance,XPINUSDT,472119,2025-09-12,2026-08-06,329,0
XPL,binance,XPLUSDT,502269,2025-08-22,2026-08-06,350,0
XPT,binance,XPTUSDT,270399,2026-01-30,2026-08-06,189,0
XRD,bybit_trades,XRDUSDT,552198,2023-12-12,2025-07-11,578,1
XRP,binance,XRPUSDT,1890999,2023-01-01,2026-08-06,1314,0
XTER,bybit_trades,XTERUSDT,226352,2025-03-06,2025-10-18,227,1
XTZ,binance,XTZUSDT,1890999,2023-01-01,2026-08-06,1314,0
XVG,binance,XVGUSDT,1623879,2023-07-05,2026-08-06,1128,0
XVS,binance,XVSUSDT,1743969,2023-04-13,2026-08-06,1212,0
YALA,binance,YALAUSDT,521730,2025-08-07,2026-08-04,363,0
YB,binance,YBUSDT,431394,2025-10-10,2026-08-06,300,0
YFI,binance,YFIUSDT,1890999,2023-01-01,2026-08-06,1314,0
YGG,binance,YGGUSDT,1579749,2023-08-05,2026-08-06,1098,0
YZY,bybit_trades,YZYUSDT,191107,2025-08-21,2026-04-30,253,1
ZAMA,binance,ZAMAUSDT,300699,2026-01-09,2026-08-06,210,0
ZBC,bybit_trades,ZBCUSDT,24468,2023-08-22,2023-09-14,24,1
ZBCN,bybit,ZBCNUSDT,1210610,2024-04-17,2026-08-06,842,0
ZBT,binance,ZBTUSDT,421509,2025-10-17,2026-08-06,294,0
ZCX,bybit_trades,ZCXUSDT,73422,2024-06-24,2024-09-24,92,1
ZEC,binance,ZECUSDT,1890999,2023-01-01,2026-08-06,1314,0
ZEN,binance,ZENUSDT,1890999,2023-01-01,2026-08-06,1314,0
ZENT,bybit_trades,ZENTUSDT,396728,2024-12-23,2025-12-26,369,1
ZEREBRO,binance,ZEREBROUSDT,836079,2025-01-02,2026-08-06,581,0
ZEST,binance,ZESTUSDT,90159,2026-06-04,2026-08-06,63,0
ZETA,binance,ZETAUSDT,1318809,2024-02-02,2026-08-06,917,0
ZEUS,bybit_trades,ZEUSUSDT,836635,2024-04-09,2026-02-06,669,1
ZHIPU,binance,ZHIPUUSDT,28894,2026-07-17,2026-08-06,21,0
ZIL,binance,ZILUSDT,1890999,2023-01-01,2026-08-06,1314,0
ZK,binance,ZKUSDT,1122812,2024-06-17,2026-08-06,781,0
ZKC,binance,ZKCUSDT,467439,2025-09-15,2026-08-06,325,0
ZKF,bybit_trades,ZKFUSDT,402614,2024-01-17,2024-11-15,304,1
ZKJ,binance,ZKJUSDT,645990,2025-05-13,2026-08-04,450,0
ZKP,binance,ZKPUSDT,327999,2025-12-21,2026-08-06,229,0
ZM,binance,ZMUSDT,81819,2026-06-10,2026-08-06,58,0
ZORA,binance,ZORAUSDT,542499,2025-07-25,2026-08-06,378,0
ZRC,binance,ZRCUSDT,535095,2025-07-29,2026-08-04,373,0
ZRO,binance,ZROUSDT,1118289,2024-06-20,2026-08-06,777,0
ZRX,binance,ZRXUSDT,1890999,2023-01-01,2026-08-06,1314,0
币安人生,binance,币安人生USDT,417219,2025-10-20,2026-08-06,291,0
我踏马来了,binance,我踏马来了USDT,283089,2026-01-21,2026-08-06,197,0
龙虾,binance,龙虾USDT,212709,2026-03-11,2026-08-06,149,0
