base,source,symbol,rows,first_utc,last_utc,days,delisted
APP,binance,APPUSDT,36915,2026-07-10,2026-08-04,27,0
APPSTOCK,bybit,APPSTOCKUSDT,29903,2026-07-16,2026-08-06,22,0
APR,binance,APRUSDT,412929,2025-10-23,2026-08-06,288,0
APT,binance,APTUSDT,1890999,2023-01-01,2026-08-06,1314,0
AR,binance,ARUSDT,1890999,2023-01-01,2026-08-06,1314,0
ARB,binance,ARBUSDT,1773458,2023-03-23,2026-08-06,1232,0
ARC,binance,ARCUSDT,814539,2025-01-17,2026-08-06,566,0
ARIA,binance,ARIAUSDT,484899,2025-09-03,2026-08-06,338,0
ARK,binance,ARKUSDT,1514196,2023-09-19,2026-08-06,1052,0
ARKK,bybit,ARKKUSDT,24149,2026-07-20,2026-08-06,18,0
ARKM,binance,ARKMUSDT,1591314,2023-07-28,2026-08-06,1106,0
ARM,binance,ARMUSDT,122139,2026-05-13,2026-08-06,86,0
ARPA,binance,ARPAUSDT,1890999,2023-01-01,2026-08-06,1314,0
ARX,binance,ARXUSDT,63354,2026-06-23,2026-08-06,45,0
ASML,binance,ASMLUSDT,58817,2026-06-26,2026-08-06,42,0
ASP,bybit,ASPUSDT,543856,2025-07-24,2026-08-06,378,0
ASR,binance,ASRUSDT,657789,2025-05-06,2026-08-06,458,0
ASTER,binance,ASTERUSDT,461799,2025-09-19,2026-08-06,322,0
ASTR,binance,ASTRUSDT,1827489,2023-02-14,2026-08-06,1270,0
ASTS,binance,ASTSUSDT,90443,2026-06-04,2026-08-06,64,0
AT,binance,ATUSDT,404229,2025-10-29,2026-08-06,282,0
ATA,binance,ATAUSDT,1889280,2023-01-01,2026-08-04,1313,0
ATH,binance,ATHUSDT,706374,2025-04-02,2026-08-06,491,0
ATOM,binance,ATOMUSDT,1890999,2023-01-01,2026-08-06,1314,0
AUCTION,binance,AUCTIONUSDT,1389099,2023-12-15,2026-08-06,965,0
AUDIO,binance,AUDIOUSDT,739158,2023-01-01,2024-05-28,514,0
AVA,binance,AVAUSDT,864939,2024-12-13,2026-08-06,601,0
AVAAI,binance,AVAAIUSDT,814524,2025-01-17,2026-08-06,566,0
AVAIL,bybit_trades,AVAILUSDT,510971,2024-07-23,2025-10-26,460,1
AVAX,binance,AVAXUSDT,1890999,2023-01-01,2026-08-06,1314,0
AVGO,binance,AVGOUSDT,138599,2026-04-20,2026-08-06,98,0
AVL,bybit_trades,AVLUSDT,450540,2025-02-20,2026-03-27,401,1
AVNT,binance,AVNTUSDT,476019,2025-09-09,2026-08-06,331,0
AWE,binance,AWEUSDT,636279,2025-05-21,2026-08-06,443,0
AXL,binance,AXLUSDT,1278069,2024-03-01,2026-08-06,888,0
AXS,binance,AXSUSDT,1890999,2023-01-01,2026-08-06,1314,0
AXTI,binance,AXTIUSDT,73097,2026-06-16,2026-08-06,52,0
AZTEC,binance,AZTECUSDT,253450,2026-02-11,2026-08-06,177,0
B,binance,BUSDT,634329,2025-05-22,2026-08-06,441,0
B2,binance,B2USDT,657549,2025-05-06,2026-08-06,457,0
B3,binance,B3USDT,777242,2025-02-12,2026-08-06,541,0
BABA,binance,BABAUSDT,137164,2026-04-20,2026-08-06,97,0
BABY,binance,BABYUSDT,702189,2025-04-05,2026-08-06,488,0
BAC,bybit,BACUSDT,2539,2026-08-04,2026-08-06,3,0
